system:index,availability_status,figure_id,is_valid_month,month,month_of_year,pollutant,processing_branch,support_count_mean,support_count_median,support_count_p10,support_count_p90,system_time_start,temporal_support_fraction_mean,temporal_support_mode,valid_area_percent,year,.geo
1_1_1_1_1_00000000000000000016,VALID,FIG_7,1,2019-08,8,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,35.98753261815018,36.0,35.0,37.0,1564617600000,,VALID_ORBITAL_OBSERVATIONS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000017,VALID,FIG_7,1,2019-08,8,CO,CO_DAILY_FIRST,24.774422918384186,25.000000000000004,21.999999999999996,25.999999999999996,1564617600000,0.7991749262866081,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000015,VALID,FIG_7,1,2019-08,8,NO2,NO2_DAILY_FIRST_LEVEL1,23.809607231185954,24.000000000000004,20.999999999999996,26.0,1564617600000,0.7680518392141332,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001a,VALID,FIG_7,1,2019-09,9,CO,CO_DAILY_FIRST,20.26391914968791,20.000000000000004,18.000000000000004,24.000000000000004,1567296000000,0.6754639779300128,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000019,VALID,FIG_7,1,2019-09,9,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,27.53667729776747,28.0,26.0,29.0,1567296000000,,VALID_ORBITAL_OBSERVATIONS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000018,VALID,FIG_7,1,2019-09,9,NO2,NO2_DAILY_FIRST_LEVEL1,18.863053527264157,19.000000000000004,18.00000000000001,21.000000000000004,1567296000000,0.628768460301895,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001d,VALID,FIG_7,1,2019-10,10,CO,CO_DAILY_FIRST,22.019483865269112,21.999999999999986,20.000000000000004,23.999999999999982,1569888000000,0.7103059242091551,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001b,VALID,FIG_7,1,2019-10,10,NO2,NO2_DAILY_FIRST_LEVEL1,12.662804734424682,12.000000000000004,12.000000000000004,14.000000000000004,1569888000000,0.40847755990463513,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001c,VALID,FIG_7,1,2019-10,10,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,11.139170774137428,11.0,10.0,13.0,1569888000000,,VALID_ORBITAL_OBSERVATIONS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001f,NA_NO_VALID_FINAL_RASTER_DATA,FIG_7,0,2019-11,11,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,0.0,0.0,0.0,0.0,1572566400000,,VALID_ORBITAL_OBSERVATIONS,0.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
