system:index,AOI_max_mol_m2,AOI_mean_mol_m2,AOI_median_mol_m2,AOI_min_mol_m2,AOI_p90_mol_m2,AOI_reduction_sample_count,aoi_id,availability_status,is_valid_month,month,month_end_exclusive,month_of_year,month_start,pollutant,pollutant_long_name,system_time_start,unit,valid_area_fraction,valid_area_km2,valid_area_m2,valid_area_percent,year,.geo
1_1_1_1_1_00000000000000000011,0.03527633473277092,0.032571506352412724,0.032239951999559195,0.031000744551420212,0.03446647674598827,698,AOI_KRYVYI_RIH,VALID,1,2019-06,2019-07-01,6,2019-06-01,CO,Carbon monoxide column number density,1559347200000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000010,2.1090936206746846E-4,8.370674645831843E-5,1.0147768625756726E-4,-1.5780457033542916E-5,1.408900716342032E-4,33,AOI_KRYVYI_RIH,VALID,1,2019-06,2019-07-01,6,2019-06-01,SO2,Sulfur dioxide column number density,1559347200000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000000f,5.961894930806011E-5,3.7283690912000465E-5,3.3950570646326266E-5,2.6339557734900154E-5,5.135599685808532E-5,698,AOI_KRYVYI_RIH,VALID,1,2019-06,2019-07-01,6,2019-06-01,NO2,Tropospheric nitrogen dioxide column number density,1559347200000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000012,5.2266514103394E-5,2.842422639568249E-5,2.535743410994679E-5,1.6096033505164087E-5,4.062601701373573E-5,698,AOI_KRYVYI_RIH,VALID,1,2019-07,2019-08-01,7,2019-07-01,NO2,Tropospheric nitrogen dioxide column number density,1561939200000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000014,0.03420207276940346,0.03119033356229809,0.030868010110958848,0.029430918395519257,0.0330711740028599,698,AOI_KRYVYI_RIH,VALID,1,2019-07,2019-08-01,7,2019-07-01,CO,Carbon monoxide column number density,1561939200000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000013,2.3338268510997295E-4,9.139677731197201E-5,9.14005286176689E-5,-4.954739779350348E-6,1.787174551282078E-4,33,AOI_KRYVYI_RIH,VALID,1,2019-07,2019-08-01,7,2019-07-01,SO2,Sulfur dioxide column number density,1561939200000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000016,3.0879475525580347E-4,1.1229549757150506E-4,9.083707118406892E-5,-3.1669362215325236E-5,1.8607519450597465E-4,33,AOI_KRYVYI_RIH,VALID,1,2019-08,2019-09-01,8,2019-08-01,SO2,Sulfur dioxide column number density,1564617600000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000017,0.03625545650720596,0.03320557699827124,0.03290693838094255,0.031236443668603897,0.03480538778698591,698,AOI_KRYVYI_RIH,VALID,1,2019-08,2019-09-01,8,2019-08-01,CO,Carbon monoxide column number density,1564617600000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000015,5.864178092451766E-5,3.853497875267611E-5,3.65654772213452E-5,2.6506111680646427E-5,5.163858622836415E-5,698,AOI_KRYVYI_RIH,VALID,1,2019-08,2019-09-01,8,2019-08-01,NO2,Tropospheric nitrogen dioxide column number density,1564617600000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001a,0.03576478362083435,0.03423150611812443,0.034183553763126075,0.03240387141704559,0.035150660347472724,698,AOI_KRYVYI_RIH,VALID,1,2019-09,2019-10-01,9,2019-09-01,CO,Carbon monoxide column number density,1567296000000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
