system:index,AOI_mean_mol_m2,AOI_median_mol_m2,AOI_p90_mol_m2,availability_status,figure_id,is_valid_month,month,month_of_year,month_start,pollutant,pollutant_long_name,system_time_start,unit,valid_area_percent,year,.geo
1_1_1_1_1_00000000000000000017,0.03320557699827124,0.03290693838094255,0.03480538778698591,VALID,FIG_3,1,2019-08,8,2019-08-01,CO,Carbon monoxide column number density,1564617600000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000015,3.853497875267611E-5,3.65654772213452E-5,5.163858622836415E-5,VALID,FIG_3,1,2019-08,8,2019-08-01,NO2,Tropospheric nitrogen dioxide column number density,1564617600000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001a,0.03423150611812443,0.034183553763126075,0.035150660347472724,VALID,FIG_3,1,2019-09,9,2019-09-01,CO,Carbon monoxide column number density,1567296000000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000019,2.898927230394331E-4,3.0092825181782246E-4,4.5848439913243055E-4,VALID,FIG_3,1,2019-09,9,2019-09-01,SO2,Sulfur dioxide column number density,1567296000000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000018,4.433155940385914E-5,4.0888633086182286E-5,5.9029666590504346E-5,VALID,FIG_3,1,2019-09,9,2019-09-01,NO2,Tropospheric nitrogen dioxide column number density,1567296000000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001d,0.031777377714178774,0.0315696030712811,0.03377227857708931,VALID,FIG_3,1,2019-10,10,2019-10-01,CO,Carbon monoxide column number density,1569888000000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001b,6.264222802505603E-5,5.555293772837286E-5,9.072065828756119E-5,VALID,FIG_3,1,2019-10,10,2019-10-01,NO2,Tropospheric nitrogen dioxide column number density,1569888000000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001c,3.542997326460407E-4,3.402717993594706E-4,5.104374722577631E-4,VALID,FIG_3,1,2019-10,10,2019-10-01,SO2,Sulfur dioxide column number density,1569888000000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000001f,,,,NA_NO_VALID_FINAL_RASTER_DATA,FIG_3,0,2019-11,11,2019-11-01,SO2,Sulfur dioxide column number density,1572566400000,mol/m2,0.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000020,0.03202890678874981,0.03192891916154784,0.03312927670776844,VALID,FIG_3,1,2019-11,11,2019-11-01,CO,Carbon monoxide column number density,1572566400000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
